"time";"level";"processed_jobs";"open_jobs";"type";"message";"data"
0;2;0;0;"simulation_begins_received";"Simulation begins";"{}"
0.0;2;0;0;"resources_registered";"500 resources registered";"{'num_resources': 500}"
19785.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!0; number:0 queue:0 sub:19785 reqtime:4430 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!0', 'workload_name': 'w0', 'number': '0', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 0, 'submit_time': 19785, 'requested_time': 4430, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0}, 'profile_name': 'profile_0', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
19785.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!0; number:0 queue:0 sub:19785 reqtime:4430 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!0', 'workload_name': 'w0', 'number': '0', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 0, 'submit_time': 19785, 'requested_time': 4430, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0}, 'profile_name': 'profile_0', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
19785.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!1; number:1 queue:1 sub:19785 reqtime:25293 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!1', 'workload_name': 'w0', 'number': '1', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 19785, 'requested_time': 25293, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0}, 'profile_name': 'profile_1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
19785.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!1; number:1 queue:1 sub:19785 reqtime:25293 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!1', 'workload_name': 'w0', 'number': '1', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 19785, 'requested_time': 25293, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0}, 'profile_name': 'profile_1', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
19918.897625;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!0; number:0 queue:0 sub:19785 reqtime:4430 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0} start:19785.0 fin:19918.897625 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!0', 'workload_name': 'w0', 'number': '0', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 0, 'submit_time': 19785, 'requested_time': 4430, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0}, 'profile_name': 'profile_0', 'start_time': 19785.0, 'finish_time': 19918.897625, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
19918.897625;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!0; number:0 queue:0 sub:19785 reqtime:4430 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0} start:19785.0 fin:19918.897625 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!0', 'workload_name': 'w0', 'number': '0', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 0, 'submit_time': 19785, 'requested_time': 4430, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 5355904986561.909, 'com': 3061924.806077, 'ret': 0}, 'profile_name': 'profile_0', 'start_time': 19785.0, 'finish_time': 19918.897625, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
21318.624506;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!1; number:1 queue:1 sub:19785 reqtime:25293 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0} start:19785.0 fin:21318.624506 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!1', 'workload_name': 'w0', 'number': '1', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 19785, 'requested_time': 25293, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0}, 'profile_name': 'profile_1', 'start_time': 19785.0, 'finish_time': 21318.624506, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
21318.624506;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!1; number:1 queue:1 sub:19785 reqtime:25293 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0} start:19785.0 fin:21318.624506 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!1', 'workload_name': 'w0', 'number': '1', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 1, 'submit_time': 19785, 'requested_time': 25293, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 61344980228182.414, 'com': 5619094.009326, 'ret': 0}, 'profile_name': 'profile_1', 'start_time': 19785.0, 'finish_time': 21318.624506, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
21909.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!2; number:2 queue:2 sub:21909 reqtime:104641 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 2, 'submit_time': 21909, 'requested_time': 104641, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0}, 'profile_name': 'profile_2', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
21909.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!2; number:2 queue:2 sub:21909 reqtime:104641 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 2, 'submit_time': 21909, 'requested_time': 104641, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0}, 'profile_name': 'profile_2', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
25682.804496;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!2; number:2 queue:2 sub:21909 reqtime:104641 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0} start:21909.0 fin:25682.804496 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 2, 'submit_time': 21909, 'requested_time': 104641, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0}, 'profile_name': 'profile_2', 'start_time': 21909.0, 'finish_time': 25682.804496, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
25682.804496;2;0;0;"job_completed";"Remove completed job and free resources: <Job w0!2; number:2 queue:2 sub:21909 reqtime:104641 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0} start:21909.0 fin:25682.804496 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>";"{'job': {'id': 'w0!2', 'workload_name': 'w0', 'number': '2', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 2, 'submit_time': 21909, 'requested_time': 104641, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 150952179846909.1, 'com': 3518442.345569, 'ret': 0}, 'profile_name': 'profile_2', 'start_time': 21909.0, 'finish_time': 25682.804496, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
26561.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!3; number:3 queue:3 sub:26561 reqtime:169868 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 471215801668008.5, 'com': 9745715.556239, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!3', 'workload_name': 'w0', 'number': '3', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 3, 'submit_time': 26561, 'requested_time': 169868, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 471215801668008.5, 'com': 9745715.556239, 'ret': 0}, 'profile_name': 'profile_3', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
26561.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!3; number:3 queue:3 sub:26561 reqtime:169868 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 471215801668008.5, 'com': 9745715.556239, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!3', 'workload_name': 'w0', 'number': '3', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 3, 'submit_time': 26561, 'requested_time': 169868, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 471215801668008.5, 'com': 9745715.556239, 'ret': 0}, 'profile_name': 'profile_3', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
28708.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!4; number:4 queue:4 sub:28708 reqtime:12324 res:3 prof:{'type': 'parallel_homogeneous', 'cpu': 51282907947081.07, 'com': 128408899.56906, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 28708, 'requested_time': 12324, 'requested_resources': 3, 'profile': {'type': 'parallel_homogeneous', 'cpu': 51282907947081.07, 'com': 128408899.56906, 'ret': 0}, 'profile_name': 'profile_4', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
28708.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!4; number:4 queue:4 sub:28708 reqtime:12324 res:3 prof:{'type': 'parallel_homogeneous', 'cpu': 51282907947081.07, 'com': 128408899.56906, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 28708, 'requested_time': 12324, 'requested_resources': 3, 'profile': {'type': 'parallel_homogeneous', 'cpu': 51282907947081.07, 'com': 128408899.56906, 'ret': 0}, 'profile_name': 'profile_4', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
28888.0;2;0;0;"job_submission_received";"Received job submission from Batsim (job=<Job w0!5; number:5 queue:5 sub:28888 reqtime:20593 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 50694594684962.08, 'com': 6636583.557753, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>, open_jobs_in_queue=1)";"{'job': {'id': 'w0!5', 'workload_name': 'w0', 'number': '5', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 5, 'submit_time': 28888, 'requested_time': 20593, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 50694594684962.08, 'com': 6636583.557753, 'ret': 0}, 'profile_name': 'profile_5', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}, 'open_jobs_in_queue': 1}"
28888.0;2;0;0;"job_scheduled";"Scheduled job (<Job w0!5; number:5 queue:5 sub:28888 reqtime:20593 res:1 prof:{'type': 'parallel_homogeneous', 'cpu': 50694594684962.08, 'com': 6636583.557753, 'ret': 0} start:None fin:None stat:SUBMITTED ret:None comment:None>)";"{'job': {'id': 'w0!5', 'workload_name': 'w0', 'number': '5', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 5, 'submit_time': 28888, 'requested_time': 20593, 'requested_resources': 1, 'profile': {'type': 'parallel_homogeneous', 'cpu': 50694594684962.08, 'com': 6636583.557753, 'ret': 0}, 'profile_name': 'profile_5', 'start_time': None, 'finish_time': None, 'state': 'SUBMITTED', 'success': False, 'return_code': None, 'comment': None}}"
29990.072699;2;0;0;"job_completion_received";"Job has completed its execution (<Job w0!4; number:4 queue:4 sub:28708 reqtime:12324 res:3 prof:{'type': 'parallel_homogeneous', 'cpu': 51282907947081.07, 'com': 128408899.56906, 'ret': 0} start:28708.0 fin:29990.072699 stat:COMPLETED_SUCCESSFULLY ret:0 comment:None>)";"{'job': {'id': 'w0!4', 'workload_name': 'w0', 'number': '4', 'parent_id': '', 'parent_workload_name': '', 'parent_number': '', 'queue_number': 4, 'submit_time': 28708, 'requested_time': 12324, 'requested_resources': 3, 'profile': {'type': 'parallel_homogeneous', 'cpu': 51282907947081.07, 'com': 128408899.56906, 'ret': 0}, 'profile_name': 'profile_4', 'start_time': 28708.0, 'finish_time': 29990.072699, 'state': 'COMPLETED_SUCCESSFULLY', 'success': True, 'return_code': 0, 'comment': None}}"
